id,分類,機能名,概要,入力,出力,利用者
fun-001,ユーザー認証,ユーザー登録画面表示,ユーザー登録に必要な入力フォームを表示する。,なし,メールアドレス入力欄、パスワード入力欄,システム
fun-002,ユーザー認証,ユーザー登録処理,入力されたメールアドレスとパスワードでユーザーアカウントを登録する。,メールアドレス、パスワード,登録成功メッセージ、またはエラーメッセージ,システム
fun-003,ユーザー認証,ログイン画面表示,ログインに必要な入力フォームを表示する。,なし,メールアドレス入力欄、パスワード入力欄,システム
fun-004,ユーザー認証,ログイン処理,入力されたメールアドレスとパスワードでユーザー認証を行う。,メールアドレス、パスワード,認証成功でカンバン画面へ遷移、またはエラーメッセージ,システム
fun-005,ユーザー認証,ログアウト処理,現在のユーザーセッションを破棄し、ログイン画面へ遷移する。,なし,ログイン画面,システム
fun-006,目標管理,カンバン画面表示,大目標、中目標、小目標をカンバン形式で表示する。,ユーザーID,カンバンボード（大目標、中目標、小目標のカラム）,システム
fun-007,目標管理,大目標作成,新しい大目標を作成する。,タイトル、色,新しい大目標がカンバンボードに追加される,一般ユーザー
fun-008,目標管理,中目標作成,大目標に紐づく中目標を作成する。,大目標ID、タイトル、色,新しい中目標がカンバンボードに追加される,一般ユーザー
fun-009,目標管理,小目標作成,中目標に紐づく小目標を作成する。,中目標ID、タイトル、色,新しい小目標がカンバンボードに追加される,一般ユーザー
fun-010,目標管理,目標編集,既存の目標のタイトルと色を編集する。,目標ID、新しいタイトル、新しい色,編集された目標がカンバンボードに反映される,一般ユーザー
fun-011,目標管理,目標削除,既存の目標を削除する。,目標ID,目標がカンバンボードから削除される,一般ユーザー
fun-012,目標管理,目標ドラッグ＆ドロップ,カンバンボード上で目標をドラッグ＆ドロップして、目標の順序や親子関係を変更する。,目標ID、移動先のカラムID,カンバンボード上で目標が移動する,一般ユーザー
fun-013,AI目標細分化,AIによる目標細分化,大目標を入力すると、AIが中目標と小目標の候補を提案する。,大目標のテキスト,中目標と小目標の候補リスト,一般ユーザー
fun-014,AI目標細分化,AI提案の採用,AIが提案した中目標と小目標をカンバンボードに一括で採用する。,AIが提案した中目標と小目標のリスト,提案された目標がカンバンボードに追加される,一般ユーザー
fun-015,ユーザー設定管理,プロフィール編集画面表示,ユーザーが自分のプロフィールを編集できる画面を表示する。,なし,ユーザー名入力欄、パスワード変更欄、アバター画像変更欄,システム
fun-016,ユーザー設定管理,ユーザー名編集,ユーザー名を変更する。,新しいユーザー名,データベースのユーザー名を更新する,一般ユーザー
fun-017,ユーザー設定管理,パスワード変更,パスワードを変更する。,現在のパスワード、新しいパスワード,データベースのパスワードを更新する,一般ユーザー
fun-018,ユーザー設定管理,アバター画像変更,アバター画像をアップロードして変更する。,新しいアバター画像,データベースのアバター画像を更新する,一般ユーザー
fun-019,Markdown連携,Markdownエクスポート,カンバンボードの構造をMarkdown形式でエクスポートする。,なし,Markdown形式のファイル,一般ユーザー
fun-020,Markdown連携,Markdownインポート,Markdown形式のファイルをインポートして、カンバンボードを生成する。,Markdown形式のファイル,カンバンボード,一般ユーザー
fun-021,データベース,ユーザー情報保存,ユーザーのメールアドレス、パスワード、ユーザー名、アバター画像をデータベースに保存する。,メールアドレス、パスワード、ユーザー名、アバター画像,データベースにユーザー情報を保存する,システム
fun-022,データベース,目標情報保存,大目標、中目標、小目標のタイトル、色、親子関係をデータベースに保存する。,大目標、中目標、小目標のタイトル、色、親子関係,データベースに目標情報を保存する,システム
fun-023,セキュリティ,パスワード暗号化,ユーザーのパスワードを暗号化して保存する。,パスワード,暗号化されたパスワード,システム
fun-024,セキュリティ,セッション管理,ログイン状態を維持するためのセッション管理を行う。,ユーザーID,セッションID,システム
fun-028,UI,エラーメッセージ表示,入力エラーやシステムエラーが発生した場合、ユーザーにわかりやすいエラーメッセージを表示する。,エラー内容,エラーメッセージ,システム
fun-029,UI,ローディング表示,AI処理など時間がかかる処理を行う場合、ローディング表示を行う。,処理開始,ローディングアニメーション,システム
fun-037,Markdown連携,色情報の読み込み,Markdownファイルから色情報を読み込む。,Markdownファイル,色情報,システム
fun-038,UI,色選択UI,目標の色を選択するためのUIを提供する。,なし,カラーパレット,一般ユーザー
fun-039,AI,AI API連携,OpenAI APIと連携して目標細分化を行う。,プロンプト,AIによる目標細分化案,システム
fun-044,UI,ドラッグ＆ドロップ時の表示,ドラッグ＆ドロップ時に、移動先を視覚的に示す。,ドラッグ中の目標,移動先のハイライト表示,システム
fun-046,UI,レスポンシブデザイン対応,PC、タブレット、スマートフォンなど、様々なデバイスで適切に表示される。,デバイスの種類,適切なUI表示,システム