id,分類,非機能名,概要
non-001,パフォーマンス,応答時間,ログイン、カンバン画面の表示、目標の作成・編集・削除などの主要な操作は、3秒以内に完了すること。
non-002,スケーラビリティ,同時接続ユーザー数,ポートフォリオ用のため、同時接続ユーザー数は考慮しない。ただし、将来的な拡張を見据えた設計とする。
non-003,セキュリティ,パスワードの保護,ユーザーのパスワードは安全にハッシュ化され、データベースに保存されること。ソルトを使用すること。
non-004,セキュリティ,データ保護,個人情報（メールアドレス、ユーザー名）は適切に保護され、不正アクセスから保護されること。
non-005,可用性,システムの稼働率,Vercelの無料枠を利用するため、システムの可用性については保証しない。ただし、安定した運用を心がける。
non-006,ユーザビリティ,使いやすさ,直感的な操作で、誰でも簡単に目標管理ができるように、シンプルなUI/UXを心がけること。ログイン・カンバン・ユーザー設定の3画面で完結すること。
non-007,保守性,コードの品質,可読性が高く、保守しやすいコードを作成すること。適切なコメントを記述し、命名規則を遵守すること。
non-008,移植性,クロスプラットフォーム対応,"Webアプリケーションとして開発し、主要なWebブラウザ（Chrome, Firefox, Safari）で動作すること。レスポンシブデザインを採用し、PC、タブレット、スマートフォンに対応すること。"
non-009,信頼性,エラー処理,エラー発生時に、ユーザーにわかりやすいメッセージを表示すること。エラーログを記録し、問題の早期発見に努めること。
non-010,効率性,リソースの最適化,"サーバーリソース（CPU, メモリ）を効率的に利用すること。不要な処理を削減し、パフォーマンスを向上させること。"
non-011,アクセシビリティ,アクセシビリティ対応,視覚障碍者など、アクセシビリティを考慮した設計にする。WAI-ARIAガイドラインに準拠すること。