id,分類,要件名,概要,利用者
req-001,ユーザー認証,ユーザー登録,ユーザーはメールアドレスとパスワードを使用してアカウントを登録できる。,一般ユーザー
req-002,ユーザー認証,ログイン,登録済みのユーザーは、メールアドレスとパスワードを使用してシステムにログインできる。,一般ユーザー
req-003,ユーザー認証,ログアウト,ログイン中のユーザーは、システムからログアウトできる。,一般ユーザー
req-004,目標管理,大目標の作成,ユーザーは大目標を作成し、タイトルと色を設定できる。,一般ユーザー
req-005,目標管理,中目標の作成,ユーザーは大目標に紐づく中目標を作成し、タイトルと色を設定できる。,一般ユーザー
req-006,目標管理,小目標の作成,ユーザーは中目標に紐づく小目標を作成し、タイトルと色を設定できる。,一般ユーザー
req-007,目標管理,目標の編集,ユーザーは作成した目標のタイトルと色を編集できる。,一般ユーザー
req-008,目標管理,目標の削除,ユーザーは作成した目標を削除できる。,一般ユーザー
req-009,目標管理,目標のドラッグ＆ドロップ,ユーザーはカンバンボード上で目標をドラッグ＆ドロップして移動できる。,一般ユーザー
req-010,目標管理,カンバンボードの表示,システムは、大目標、中目標、小目標をカンバンボード形式で表示する。,一般ユーザー
req-011,AI目標細分化,AIによる目標細分化,ユーザーは大目標を入力すると、AIが中目標と小目標の候補を提案する。,一般ユーザー
req-012,AI目標細分化,AI提案の採用,ユーザーはAIが提案した中目標と小目標をカンバンボードに一括で採用できる。,一般ユーザー
req-013,ユーザー設定管理,プロフィールの編集,ユーザーは自分のユーザー名、パスワード、アバター画像を編集できる。,一般ユーザー
req-014,ユーザー設定管理,パスワードの変更,ユーザーはパスワードを変更できる。,一般ユーザー
req-015,ユーザー設定管理,アバター画像の変更,ユーザーはアバター画像をアップロードして変更できる。,一般ユーザー
req-016,Markdown連携,Markdownのエクスポート,ユーザーはカンバンボードの構造をMarkdown形式でエクスポートできる。,一般ユーザー
req-017,Markdown連携,Markdownのインポート,ユーザーはMarkdown形式のファイルをインポートして、カンバンボードを生成できる。,一般ユーザー
req-018,UI,ログイン画面の表示,システムはメールアドレスとパスワードを入力するログイン画面を表示する。,一般ユーザー
req-019,UI,カンバン画面の表示,システムは大目標、中目標、小目標を管理するカンバン画面を表示する。,一般ユーザー
req-020,UI,ユーザー設定画面の表示,システムはユーザーがプロフィールを編集できるユーザー設定画面を表示する。,一般ユーザー
req-021,データベース,ユーザー情報の保存,システムはユーザーのメールアドレス、パスワード、ユーザー名、アバター画像をデータベースに保存する。,システム
req-022,データベース,目標情報の保存,システムは大目標、中目標、小目標のタイトル、色、親子関係をデータベースに保存する。,システム
req-023,セキュリティ,パスワードの暗号化,システムはユーザーのパスワードを暗号化して保存する。,システム
req-024,セキュリティ,セッション管理,システムはログイン状態を維持するためのセッション管理を行う。,システム
req-027,UI,レスポンシブデザイン,システムはPC、タブレット、スマートフォンなど様々なデバイスで適切に表示される。,システム
req-029,UI,エラーメッセージの表示,入力エラーやシステムエラーが発生した場合、ユーザーにわかりやすいエラーメッセージを表示する。,システム
req-030,UI,ローディング表示,AI処理など時間がかかる処理を行う場合、ローディング表示を行う。,システム